date,category,name,change,percentage
2024-10-01,Free Hard Drive Space,1 TB to 2 TB,0.0020,0.0997
2024-10-01,Free Hard Drive Space,10 GB to  99 GB,0.0015,0.1438
2024-10-01,Free Hard Drive Space,100 GB to 249 GB,-0.0041,0.2148
2024-10-01,Free Hard Drive Space,2 TB to 3 TB,0.0028,0.0335
2024-10-01,Free Hard Drive Space,250 GB to 499 GB,-0.0005,0.2127
2024-10-01,Free Hard Drive Space,3 TB to 4 TB,-0.0008,0.0235
2024-10-01,Free Hard Drive Space,500 GB to 749 GB,0.0008,0.1086
2024-10-01,Free Hard Drive Space,750 GB to 999 GB,0.0018,0.0896
2024-10-01,Free Hard Drive Space,Above 4 TB,-0.0040,0.0659
2024-10-01,Free Hard Drive Space,Less than 10 GB,0.0006,0.0080
2024-10-01,Free Hard Drive Space,Unspecified,0.0000,0.0000
2024-10-01,Intel CPU Speeds,1.4 Ghz to 1.49 Ghz,0.0000,0.0016
2024-10-01,Intel CPU Speeds,1.5 Ghz to 1.69 Ghz,0.0001,0.0020
2024-10-01,Intel CPU Speeds,1.7 Ghz to 1.99 Ghz,0.0004,0.0114
2024-10-01,Intel CPU Speeds,2.0 Ghz to 2.29 Ghz,0.0004,0.0430
2024-10-01,Intel CPU Speeds,2.3 Ghz to 2.69 Ghz,0.0002,0.2402
2024-10-01,Intel CPU Speeds,2.7 Ghz to 2.99 Ghz,-0.0087,0.1193
2024-10-01,Intel CPU Speeds,3.0 Ghz to 3.29 Ghz,-0.0015,0.0544
2024-10-01,Intel CPU Speeds,3.3 Ghz to 3.69 Ghz,-0.0043,0.1400
2024-10-01,Intel CPU Speeds,3.7 Ghz and above,0.0004,0.0255
2024-10-01,Intel CPU Speeds,Below 1.4 Ghz,0.0004,0.0081
2024-10-01,Intel CPU Speeds,Unspecified,0.0003,0.0032
2024-10-01,Language,Arabic,0.0000,0.0000
2024-10-01,Language,Bulgarian,0.0000,0.0004
2024-10-01,Language,Czech,0.0004,0.0052
2024-10-01,Language,Danish,0.0001,0.0022
2024-10-01,Language,Dutch,0.0002,0.0026
2024-10-01,Language,English,0.0177,0.3268
2024-10-01,Language,Finnish,0.0000,0.0015
2024-10-01,Language,French,0.0012,0.0216
2024-10-01,Language,German,0.0019,0.0277
2024-10-01,Language,Greek,0.0000,0.0006
2024-10-01,Language,Hungarian,0.0002,0.0035
2024-10-01,Language,Indonesian,0.0001,0.0009
2024-10-01,Language,Italian,0.0002,0.0059
2024-10-01,Language,Japanese,0.0003,0.0222
2024-10-01,Language,Korean,-0.0038,0.0106
2024-10-01,Language,Norwegian,0.0000,0.0011
2024-10-01,Language,Polish,0.0010,0.0153
2024-10-01,Language,Portuguese - Portugal,0.0002,0.0036
2024-10-01,Language,Portuguese-Brazil,0.0040,0.0381
2024-10-01,Language,Romanian,0.0002,0.0013
2024-10-01,Language,Russian,0.0024,0.0856
2024-10-01,Language,Simplified Chinese,-0.0309,0.3348
2024-10-01,Language,Spanish - Latin America,0.0005,0.0051
2024-10-01,Language,Spanish - Spain,0.0032,0.0410
2024-10-01,Language,Swedish,0.0002,0.0025
2024-10-01,Language,Thai,-0.0003,0.0078
2024-10-01,Language,Traditional Chinese,-0.0006,0.0121
2024-10-01,Language,Turkish,0.0013,0.0125
2024-10-01,Language,Ukrainian,0.0002,0.0061
2024-10-01,Language,Vietnamese,-0.0001,0.0012
2024-10-01,Multi-Monitor Desktop Resolution,1920 x 2160,0.0002,0.0166
2024-10-01,Multi-Monitor Desktop Resolution,2560 x 2520,0.0000,0.0096
2024-10-01,Multi-Monitor Desktop Resolution,2944 x 1080,0.0000,0.0042
2024-10-01,Multi-Monitor Desktop Resolution,3000 x 1920,0.0004,0.0478
2024-10-01,Multi-Monitor Desktop Resolution,3200 x 1080,-0.0006,0.0218
2024-10-01,Multi-Monitor Desktop Resolution,3280 x 1080,0.0002,0.0138
2024-10-01,Multi-Monitor Desktop Resolution,3286 x 1080,0.0002,0.0274
2024-10-01,Multi-Monitor Desktop Resolution,3360 x 1080,-0.0002,0.0142
2024-10-01,Multi-Monitor Desktop Resolution,3440 x 2520,0.0000,0.0056
2024-10-01,Multi-Monitor Desktop Resolution,3520 x 1080,0.0002,0.0186
2024-10-01,Multi-Monitor Desktop Resolution,3600 x 1080,0.0000,0.0138
2024-10-01,Multi-Monitor Desktop Resolution,3640 x 1920,0.0000,0.0334
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1080,-0.0024,0.5648
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1081,0.0002,0.0112
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1082,0.0002,0.0070
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1083,0.0000,0.0098
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1084,-0.0002,0.0072
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1085,0.0000,0.0068
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1086,0.0002,0.0064
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1087,0.0002,0.0046
2024-10-01,Multi-Monitor Desktop Resolution,3840 x 1088,0.0040,0.0040
